Age,Attrition,Department,MonthlyIncome,JobSatisfaction,WorkLifeBalance,YearsAtCompany,DistanceFromHome,Education,OverTime,NumCompaniesWorked,JobRole
46,No,R&D,18120,4,1,5,19,3,Yes,1,Technician
42,No,R&D,10268,4,3,11,29,1,No,2,Engineer
43,No,HR,13057,1,4,24,28,4,No,3,Manager
42,No,Sales,4318,4,1,15,24,2,No,9,Engineer
51,Yes,HR,3767,4,1,23,25,4,No,8,Manager
33,No,R&D,7140,2,1,17,14,4,No,3,HR Executive
46,No,R&D,7917,4,4,16,22,4,Yes,7,HR Executive
46,No,Sales,9019,2,3,36,7,3,Yes,6,Engineer
54,No,R&D,4386,1,1,8,26,1,No,7,Manager
36,No,Sales,2501,1,3,21,23,2,No,7,Sales Executive
52,No,Sales,17667,1,3,27,14,2,Yes,1,Manager
34,Yes,HR,14540,3,3,1,27,2,Yes,3,HR Executive
50,No,Sales,4556,3,3,25,27,2,Yes,5,Technician
19,No,Sales,7339,1,3,34,16,4,No,7,Manager
48,Yes,Sales,17482,4,4,1,26,1,No,8,Manager
48,No,HR,18687,3,1,7,1,2,Yes,2,Engineer
28,No,HR,15076,1,3,29,27,2,No,5,Sales Executive
46,Yes,HR,7440,1,2,11,7,4,Yes,0,Sales Executive
37,No,HR,19524,3,2,20,10,3,Yes,1,Manager
35,No,R&D,17786,3,1,36,16,2,Yes,9,Manager
29,No,Sales,8840,2,4,19,2,4,No,0,Technician
21,Yes,R&D,12827,2,2,10,21,4,Yes,8,Manager
43,No,R&D,14527,4,1,32,12,1,Yes,5,Sales Executive
40,No,R&D,19729,2,2,9,12,2,Yes,2,HR Executive
35,No,Sales,17294,4,1,28,22,1,Yes,0,HR Executive
36,Yes,Sales,2741,3,4,23,15,1,No,4,Manager
37,No,Sales,2154,3,1,27,22,1,Yes,7,Manager
31,Yes,HR,14378,1,4,6,15,1,No,3,HR Executive
23,No,Sales,17604,4,4,24,25,2,Yes,9,Technician
28,Yes,Sales,8033,2,1,33,24,3,No,8,Sales Executive
22,No,R&D,17629,1,1,5,5,4,Yes,0,Technician
56,No,HR,10139,3,1,13,29,4,Yes,3,HR Executive
58,No,HR,19573,3,3,4,6,2,Yes,6,Manager
35,No,Sales,4101,1,4,37,13,2,No,8,Engineer
49,No,R&D,15291,3,4,22,1,2,No,5,Technician
39,No,R&D,12131,3,2,31,8,1,No,1,Technician
45,No,R&D,9306,2,2,33,29,3,Yes,9,Sales Executive
38,No,Sales,7660,4,3,27,9,4,No,5,Manager
53,Yes,R&D,7196,1,2,13,19,3,Yes,7,Technician
43,Yes,R&D,13842,4,3,32,1,2,No,3,Sales Executive
38,No,R&D,6119,1,3,33,25,1,No,0,Sales Executive
27,No,R&D,8049,3,1,30,22,3,Yes,3,HR Executive
55,Yes,R&D,6988,1,2,32,21,3,Yes,5,Technician
27,No,R&D,6621,3,1,11,6,1,Yes,9,Manager
54,No,HR,14827,3,3,19,14,2,No,2,Manager
35,No,R&D,15215,1,4,2,13,1,No,0,Engineer
30,No,Sales,3002,3,1,33,11,1,Yes,0,Manager
54,No,Sales,12411,1,3,39,28,1,No,4,Technician
22,Yes,R&D,2064,2,2,33,1,1,Yes,3,Engineer
39,No,HR,9543,4,1,20,20,2,Yes,3,HR Executive
21,No,HR,11275,2,2,31,27,2,No,2,Sales Executive
56,No,HR,15508,1,3,16,4,4,No,3,Sales Executive
43,Yes,HR,11203,4,2,17,21,3,Yes,9,Engineer
21,No,HR,9910,2,2,4,3,2,Yes,2,HR Executive
32,Yes,Sales,8036,2,1,34,7,3,Yes,7,HR Executive
35,No,R&D,19786,4,4,20,8,2,Yes,3,Technician
39,No,R&D,4720,3,1,7,10,4,Yes,0,Technician
26,Yes,Sales,13376,2,3,0,11,1,No,1,Technician
39,No,R&D,8000,2,2,20,13,1,Yes,9,Engineer
35,No,Sales,4904,1,2,30,18,2,No,4,Engineer
37,No,R&D,13408,2,2,10,24,2,No,9,Manager
23,No,Sales,18604,4,3,18,27,2,No,9,Manager
53,No,HR,9320,4,4,2,5,3,No,2,Engineer
49,No,HR,5708,1,4,21,8,2,No,3,Engineer
31,No,HR,15320,3,1,12,24,4,Yes,7,Manager
48,Yes,HR,14276,2,3,9,5,3,No,8,HR Executive
44,No,Sales,12522,3,1,39,25,1,Yes,2,HR Executive
21,No,R&D,5613,1,2,0,11,2,Yes,3,Manager
32,No,HR,9637,3,2,19,28,2,Yes,5,Technician
53,No,Sales,10307,2,1,0,4,3,Yes,4,Engineer
21,No,HR,13436,4,1,14,1,4,No,6,HR Executive
47,No,Sales,16975,2,3,29,15,3,Yes,5,Technician
19,No,R&D,3051,2,4,37,10,3,No,5,Technician
51,No,HR,7436,4,4,29,22,2,Yes,4,Sales Executive
46,No,HR,10862,1,4,20,25,4,No,9,Technician
57,No,R&D,15698,1,1,15,26,3,Yes,3,Manager
34,Yes,HR,12248,1,4,16,17,4,Yes,2,Sales Executive
26,Yes,Sales,2200,3,2,5,13,1,Yes,2,Sales Executive
36,No,Sales,16320,4,2,22,9,4,Yes,7,Manager
44,No,R&D,9810,4,2,17,3,1,No,4,HR Executive
38,No,R&D,9107,3,4,33,24,1,No,1,HR Executive
20,No,Sales,9778,3,1,9,17,4,No,9,Technician
38,No,Sales,6559,3,1,9,22,1,No,3,Technician
43,No,HR,12195,3,4,11,13,3,Yes,2,Technician
52,No,R&D,12511,2,4,19,11,1,Yes,1,Sales Executive
37,Yes,HR,11798,2,1,30,20,2,Yes,5,HR Executive
20,Yes,HR,6604,4,1,34,29,3,No,4,Manager
34,No,R&D,6078,3,2,17,1,4,No,0,Manager
41,No,R&D,17462,3,4,21,10,3,No,8,Technician
48,No,R&D,18319,4,3,23,14,1,Yes,7,Technician
53,No,Sales,9193,3,3,4,14,1,Yes,6,HR Executive
58,No,HR,17464,3,2,32,26,2,Yes,7,Sales Executive
18,No,R&D,8758,4,4,19,26,4,No,2,Manager
40,Yes,Sales,12055,4,2,10,16,4,No,0,Engineer
37,No,HR,9567,4,4,13,12,1,No,7,Engineer
51,Yes,HR,3680,1,3,20,17,2,Yes,3,Manager
21,No,HR,15528,2,4,26,8,1,Yes,6,Sales Executive
23,No,HR,12545,1,2,31,9,3,No,9,Technician
32,No,Sales,4538,3,1,12,22,3,No,0,Sales Executive
54,No,HR,15252,4,4,25,22,3,Yes,3,Manager
53,No,HR,11786,2,3,13,5,4,No,8,Sales Executive
50,No,R&D,7831,1,1,36,15,2,Yes,1,Engineer
54,No,Sales,9429,4,2,35,1,1,No,2,Sales Executive
50,No,R&D,18737,3,2,10,15,4,No,9,Sales Executive
40,No,HR,8412,3,1,23,15,1,Yes,7,Sales Executive
45,No,HR,18408,3,1,29,23,4,No,8,Engineer
40,No,R&D,3237,1,3,21,24,3,No,7,Engineer
43,No,R&D,6295,4,4,1,10,1,No,0,Sales Executive
21,No,R&D,18370,4,2,31,18,2,Yes,0,Technician
55,No,R&D,2830,3,2,30,15,2,Yes,2,Technician
33,Yes,Sales,6166,1,2,24,17,3,Yes,4,Technician
34,No,HR,3994,2,3,13,8,3,Yes,4,Sales Executive
32,No,HR,12049,4,4,24,16,4,No,6,Manager
56,No,Sales,13853,4,2,38,9,4,No,0,Technician
42,No,Sales,19263,2,4,14,12,3,No,8,Technician
56,No,Sales,16813,1,3,15,26,4,Yes,3,Technician
56,No,Sales,13617,1,4,14,7,4,Yes,6,Engineer
24,No,HR,19921,1,4,11,1,1,Yes,0,Engineer
42,Yes,R&D,9232,2,3,19,9,1,No,7,Technician
27,No,HR,3908,1,1,6,14,2,No,0,HR Executive
38,Yes,R&D,4601,2,4,13,26,3,No,7,Technician
33,No,Sales,3420,2,2,22,6,1,Yes,6,Technician
50,No,R&D,13044,2,1,24,26,4,No,4,Sales Executive
56,No,HR,5815,4,1,28,14,4,No,0,Manager
36,No,HR,13055,4,3,36,23,4,No,6,Sales Executive
33,No,HR,5120,4,4,19,17,3,Yes,0,Engineer
35,No,R&D,19783,4,1,13,28,4,No,5,HR Executive
48,Yes,Sales,9137,3,2,24,17,3,Yes,0,Sales Executive
22,No,R&D,3958,3,4,7,22,3,Yes,7,Technician
31,No,R&D,18855,1,3,31,29,2,Yes,1,HR Executive
54,No,R&D,13238,1,3,26,6,2,Yes,2,Sales Executive
56,No,HR,7869,4,1,39,2,3,No,7,Technician
46,Yes,Sales,9003,3,2,3,18,2,No,3,Technician
38,No,Sales,13569,1,2,27,6,1,Yes,9,Technician
32,No,R&D,14849,3,4,12,14,4,Yes,3,HR Executive
20,No,Sales,2737,1,1,34,24,1,Yes,2,Manager
26,Yes,R&D,2704,3,1,7,20,3,No,4,Technician
59,No,HR,10750,3,1,24,27,3,Yes,1,HR Executive
29,No,Sales,13506,4,3,11,16,2,No,5,Manager
46,No,Sales,11923,2,3,11,28,2,No,8,Technician
23,No,HR,17230,1,2,17,20,1,Yes,0,Technician
48,Yes,R&D,7036,1,4,18,29,3,Yes,1,Sales Executive
27,No,HR,17787,3,2,2,8,2,Yes,3,Sales Executive
39,No,HR,15725,3,4,4,8,1,No,5,Manager
21,No,Sales,10331,2,4,26,8,4,No,0,Engineer
35,Yes,Sales,17445,3,2,7,27,1,Yes,4,Technician
38,No,HR,16032,3,1,24,5,3,Yes,4,Technician
42,No,HR,4034,4,2,33,23,2,No,0,HR Executive
56,No,HR,9212,1,2,19,1,4,Yes,9,Engineer
42,Yes,HR,15420,1,3,24,11,2,No,1,Technician
35,No,HR,9262,3,4,37,13,2,Yes,2,Manager
38,Yes,R&D,18406,2,3,30,15,3,No,2,Sales Executive
26,No,Sales,19739,4,3,5,8,1,Yes,6,Technician
55,No,HR,10288,2,2,36,23,4,Yes,7,Manager
51,No,HR,7001,2,4,20,10,2,No,4,Manager
55,No,R&D,14813,2,2,35,1,4,No,1,HR Executive
37,No,HR,14242,2,3,23,21,2,No,2,Technician
57,Yes,R&D,11817,4,2,23,17,1,Yes,5,Engineer
53,No,R&D,5673,3,4,39,15,4,No,8,Sales Executive
46,No,HR,18639,4,1,12,26,1,Yes,1,Manager
31,No,R&D,13659,3,1,18,22,2,Yes,9,Technician
47,No,R&D,4419,4,4,2,26,2,No,4,Sales Executive
29,No,Sales,18075,3,3,18,1,3,No,8,Engineer
24,No,HR,12680,3,3,17,18,3,No,4,Engineer
44,No,Sales,19166,3,4,18,12,1,No,9,HR Executive
21,No,Sales,17456,3,2,4,3,2,No,7,Manager
42,No,Sales,3275,3,3,16,6,3,No,7,Technician
18,No,HR,6895,4,1,14,25,4,Yes,3,Sales Executive
55,No,HR,14494,3,2,7,17,2,No,8,HR Executive
59,No,R&D,15989,3,1,13,15,1,No,5,HR Executive
33,Yes,HR,3031,3,4,32,14,2,No,1,HR Executive
47,No,R&D,9178,3,1,39,22,1,Yes,4,Sales Executive
36,Yes,R&D,3748,2,1,24,1,3,No,0,Manager
58,No,HR,12051,4,3,1,1,1,No,2,Sales Executive
22,No,Sales,3678,1,3,31,8,4,Yes,2,Engineer
53,No,HR,6438,3,2,18,2,1,Yes,4,HR Executive
46,Yes,R&D,19988,4,3,38,15,1,Yes,7,Manager
20,No,HR,4475,2,4,9,21,2,Yes,8,Engineer
46,No,Sales,8451,3,4,11,13,4,No,9,Technician
32,Yes,HR,6333,3,3,27,25,4,No,0,Manager
48,No,Sales,13800,4,1,23,7,1,Yes,6,Manager
25,No,R&D,19103,2,3,37,28,3,Yes,5,Technician
50,No,HR,18433,4,2,39,1,2,No,7,HR Executive
29,Yes,HR,18998,2,1,4,2,3,Yes,8,Sales Executive
44,No,Sales,6052,2,1,0,1,3,Yes,0,Engineer
35,No,R&D,9595,1,3,22,2,1,Yes,4,Sales Executive
52,No,Sales,16234,1,1,32,24,2,Yes,6,Sales Executive
49,No,HR,16388,2,3,17,25,1,Yes,5,Technician
55,No,R&D,14215,3,3,30,6,2,No,4,Manager
30,No,HR,16223,2,3,27,29,4,No,7,Technician
57,No,R&D,14549,4,4,1,21,2,Yes,1,Engineer
30,Yes,R&D,12051,3,3,6,18,1,Yes,6,Engineer
28,No,R&D,5502,3,4,27,9,2,No,1,HR Executive
20,No,HR,3844,3,4,32,24,2,Yes,7,Manager
54,No,HR,11616,1,1,34,29,2,No,1,Technician
34,No,R&D,18481,2,2,7,19,1,Yes,6,Manager
18,Yes,HR,3509,3,4,30,27,1,No,8,Engineer
41,No,HR,16936,1,4,3,14,4,No,0,Sales Executive
44,Yes,Sales,2420,1,3,32,5,2,No,1,Technician
41,No,R&D,18399,2,4,12,27,4,Yes,0,Manager
30,No,HR,6659,2,4,15,19,3,Yes,7,HR Executive
33,Yes,R&D,11207,3,4,19,22,1,No,0,Engineer
58,No,R&D,17061,1,1,9,6,1,No,6,Manager
29,No,Sales,10073,2,1,34,2,1,No,2,Sales Executive
19,No,HR,9295,2,1,33,15,2,Yes,5,Manager
20,No,R&D,6773,1,1,35,22,1,No,8,Technician
58,Yes,R&D,19753,3,4,5,1,2,Yes,9,Manager
36,Yes,Sales,12674,4,3,4,24,4,No,0,Engineer
25,Yes,HR,14243,1,4,9,28,2,Yes,2,HR Executive
49,No,Sales,14825,4,4,27,7,3,Yes,6,Manager
46,No,R&D,8028,2,4,4,24,3,No,1,Engineer
30,No,HR,6729,2,3,11,7,1,Yes,2,Technician
50,No,Sales,2532,2,4,1,29,4,Yes,4,Technician
30,No,R&D,14002,2,2,39,20,4,Yes,3,Manager
30,No,Sales,9811,3,1,20,3,3,Yes,9,Technician
58,No,HR,19715,3,2,7,26,4,Yes,9,Sales Executive
55,Yes,Sales,6124,1,3,30,9,2,Yes,0,Technician
48,No,R&D,16009,4,2,15,23,3,Yes,9,Technician
21,No,R&D,12358,2,3,2,5,1,Yes,3,Technician
43,Yes,HR,5659,4,1,11,23,3,No,3,Technician
43,No,R&D,2185,4,4,35,23,2,No,6,Engineer
51,No,R&D,17834,4,2,1,18,4,Yes,0,Engineer
35,No,R&D,5967,1,2,30,5,1,No,3,Technician
20,No,HR,5697,2,2,22,26,3,Yes,2,Sales Executive
33,Yes,HR,4185,4,3,10,7,1,Yes,0,Technician
20,No,R&D,19126,2,4,10,11,2,No,3,Manager
50,No,Sales,2650,1,1,32,11,3,No,3,Manager
58,No,R&D,7954,2,1,26,15,1,No,2,HR Executive
41,No,HR,17182,4,3,22,21,3,No,4,HR Executive
34,Yes,R&D,5205,2,1,11,11,4,Yes,8,Manager
36,No,R&D,11783,2,4,23,8,4,No,7,Technician
54,No,Sales,19808,2,3,26,19,2,Yes,7,Sales Executive
26,No,R&D,19468,3,3,13,16,4,No,1,Technician
34,Yes,Sales,13737,2,1,4,5,4,No,4,Sales Executive
19,Yes,HR,9787,3,3,35,28,1,Yes,4,Manager
37,Yes,Sales,12549,4,2,8,29,3,No,1,Engineer
24,No,R&D,14553,1,3,5,26,2,No,1,Technician
30,Yes,Sales,3677,2,1,3,22,2,Yes,0,Technician
50,No,R&D,15626,1,1,18,13,4,Yes,8,Technician
58,Yes,R&D,3421,4,1,17,22,1,No,2,HR Executive
33,No,HR,17145,2,3,9,20,3,Yes,5,HR Executive
22,No,HR,7776,2,4,35,6,3,No,4,Engineer
42,No,R&D,17988,2,4,7,2,4,No,8,Technician
18,No,HR,14711,2,2,28,27,2,Yes,0,HR Executive
42,Yes,Sales,12791,2,4,27,13,4,No,6,Manager
28,No,HR,6139,1,1,27,23,4,No,4,Technician
20,No,R&D,14742,4,2,38,29,3,Yes,4,Engineer
45,No,R&D,10062,2,3,4,13,3,No,9,Engineer
24,No,HR,14943,4,4,26,9,4,Yes,9,HR Executive
39,Yes,R&D,6181,3,4,1,23,4,Yes,6,Sales Executive
57,No,HR,4709,2,3,32,3,3,No,8,Technician
35,Yes,HR,16379,1,4,9,22,2,Yes,8,Sales Executive
53,No,HR,10615,1,3,26,8,2,No,5,Sales Executive
22,No,Sales,11351,4,1,20,26,1,Yes,9,Manager
23,No,Sales,10360,2,1,23,14,4,Yes,8,HR Executive
32,Yes,HR,15510,4,2,31,16,3,No,6,Sales Executive
40,No,R&D,4118,4,1,23,4,1,No,0,Engineer
31,Yes,HR,11560,3,1,21,14,1,Yes,2,Manager
26,No,Sales,7228,3,2,0,28,2,No,2,Sales Executive
43,No,Sales,9858,1,1,0,28,2,Yes,5,Manager
47,No,Sales,11196,3,1,15,13,3,Yes,3,Manager
22,No,HR,11873,4,4,14,18,4,No,6,Sales Executive
32,No,HR,11269,1,2,30,8,3,Yes,9,Manager
29,No,Sales,10854,4,3,39,26,2,Yes,9,Engineer
52,No,HR,8205,1,2,18,6,2,No,3,Engineer
24,No,Sales,3385,2,2,36,2,4,No,5,Technician
51,Yes,HR,2759,3,3,21,25,4,Yes,7,Sales Executive
45,No,Sales,13318,1,3,18,25,1,No,2,Manager
41,Yes,Sales,11272,3,1,19,1,4,No,8,Sales Executive
28,No,HR,17005,1,4,7,4,4,No,0,Sales Executive
22,No,Sales,7927,4,3,25,10,3,No,7,Technician
40,No,R&D,9291,1,4,7,23,4,No,1,Sales Executive
41,No,R&D,12045,2,1,6,2,3,Yes,8,Engineer
53,Yes,Sales,17990,1,2,23,4,4,Yes,0,Manager
46,No,R&D,12349,4,3,25,8,2,Yes,5,HR Executive
56,No,Sales,7393,1,3,15,8,2,Yes,0,Technician
30,No,Sales,11514,3,4,16,12,3,Yes,8,HR Executive
43,No,HR,3307,2,4,29,23,3,No,9,HR Executive
47,No,HR,12294,4,4,10,13,4,No,7,Sales Executive
41,No,Sales,2228,2,2,6,25,2,Yes,4,HR Executive
38,No,R&D,15419,3,2,13,29,4,No,2,Engineer
39,No,HR,11085,4,1,3,3,4,Yes,3,Engineer
38,No,Sales,6534,3,3,9,16,1,Yes,1,HR Executive
38,No,Sales,6717,1,3,1,10,1,Yes,0,HR Executive
18,No,HR,16031,1,4,6,29,3,Yes,1,Engineer
59,No,Sales,14016,4,2,36,7,1,Yes,8,HR Executive
59,No,HR,18683,4,1,0,19,4,Yes,9,HR Executive
18,No,HR,6287,3,4,2,20,4,No,0,Manager
59,Yes,Sales,6354,1,2,17,1,1,Yes,0,Engineer
38,No,HR,6729,3,2,23,27,1,No,1,Technician
54,No,R&D,10962,3,3,39,10,1,Yes,9,Manager
42,Yes,HR,13613,3,1,26,8,4,No,9,Sales Executive
37,No,HR,8319,2,4,0,18,1,No,3,Sales Executive
47,No,R&D,13259,1,2,9,21,1,Yes,1,Engineer
59,No,HR,7210,2,1,7,3,3,Yes,6,Manager
41,No,Sales,19915,3,4,11,16,2,Yes,8,Engineer
35,No,Sales,18359,1,4,13,20,4,Yes,9,Engineer
24,No,R&D,10412,4,2,30,23,4,Yes,3,Engineer
37,No,R&D,10094,1,1,21,17,4,No,6,Sales Executive
53,No,R&D,6061,4,1,24,21,4,Yes,8,Engineer
58,No,HR,17269,4,1,14,12,1,Yes,1,Manager
19,No,R&D,4018,4,1,16,12,4,Yes,5,HR Executive
19,No,Sales,17323,2,1,29,28,1,No,8,Manager
49,No,R&D,3535,1,2,1,11,3,Yes,9,Engineer
39,No,R&D,10551,1,4,8,15,2,No,4,Technician
59,No,R&D,6589,4,2,38,17,2,No,9,Engineer
38,Yes,HR,15926,1,4,26,9,3,Yes,1,Technician
31,No,Sales,18924,2,1,17,14,2,No,5,Sales Executive
45,No,HR,15154,3,3,10,14,3,Yes,1,Engineer
50,No,Sales,14954,4,2,5,26,4,Yes,0,Manager
38,No,Sales,4729,2,2,4,16,1,Yes,0,Technician
32,No,Sales,14320,1,3,35,2,2,Yes,4,Technician
19,No,HR,19494,4,4,2,18,2,No,7,Manager
49,No,HR,3290,3,3,6,18,3,No,0,HR Executive
54,No,Sales,10750,1,1,22,22,1,No,7,Sales Executive
55,No,HR,10119,3,3,32,25,4,No,7,Manager
26,No,Sales,11840,1,2,34,2,4,No,1,Engineer
38,No,Sales,3565,1,4,38,22,1,Yes,8,HR Executive
27,No,Sales,14760,1,2,24,9,4,No,4,Manager
21,No,R&D,3226,3,2,21,6,1,No,5,Technician
19,No,Sales,11303,4,2,9,20,2,Yes,8,Technician
56,No,R&D,3074,4,2,32,15,1,Yes,5,Sales Executive
54,No,R&D,5911,3,3,13,20,1,No,9,HR Executive
27,No,HR,9610,1,4,23,9,1,Yes,6,Sales Executive
58,Yes,HR,10372,3,1,36,3,4,No,6,HR Executive
36,No,Sales,6519,4,1,37,17,1,No,4,HR Executive
49,Yes,HR,16449,2,2,15,6,1,No,0,Technician
57,Yes,HR,7455,3,3,28,17,2,Yes,6,Sales Executive
43,Yes,R&D,19403,3,1,18,26,4,No,9,Engineer
36,No,R&D,18392,1,3,31,9,3,No,5,Engineer
25,No,HR,6022,3,2,34,8,4,Yes,5,HR Executive
22,No,HR,19932,2,2,26,11,1,No,2,HR Executive
29,No,HR,3365,4,4,30,11,3,No,3,Manager
34,No,Sales,9686,4,4,21,22,3,Yes,2,Engineer
49,Yes,R&D,13020,4,4,2,18,3,No,8,HR Executive
32,No,Sales,2172,4,2,3,1,4,Yes,3,Sales Executive
18,No,R&D,10912,4,4,13,11,3,No,7,HR Executive
33,No,R&D,13038,4,3,16,7,4,No,6,Technician
24,No,Sales,8112,2,4,29,21,1,No,1,Technician
38,No,Sales,6815,2,4,36,8,1,Yes,8,Engineer
57,No,Sales,17247,1,2,27,28,4,No,1,Manager
28,No,Sales,16080,1,4,34,20,4,No,3,Sales Executive
55,No,R&D,14892,4,3,6,5,4,Yes,0,Sales Executive
35,No,HR,9177,4,3,22,26,1,Yes,5,Manager
25,No,Sales,6679,4,3,18,10,1,No,0,Engineer
31,No,HR,11766,4,3,39,7,3,Yes,0,Technician
22,No,R&D,3693,4,1,21,24,3,Yes,5,HR Executive
37,Yes,R&D,18136,1,3,30,12,2,No,5,HR Executive
28,Yes,Sales,18648,2,4,17,13,2,No,9,Technician
37,No,R&D,8750,2,2,9,19,2,Yes,1,Engineer
44,No,Sales,4420,1,4,14,12,2,No,6,Manager
46,No,R&D,13844,1,2,20,27,2,Yes,1,Engineer
36,Yes,Sales,10715,4,2,30,18,4,No,9,Technician
45,Yes,Sales,18557,1,3,21,17,1,No,6,Sales Executive
30,No,HR,8070,1,3,6,9,1,Yes,5,Engineer
34,No,R&D,4385,2,2,19,11,3,Yes,8,HR Executive
44,Yes,R&D,5767,2,4,25,5,4,Yes,2,Manager
24,Yes,Sales,5232,4,4,29,23,1,Yes,2,Manager
25,Yes,R&D,6068,2,4,11,18,4,No,2,Manager
34,No,Sales,5007,3,1,31,10,1,No,5,Sales Executive
40,No,HR,8470,2,1,28,17,3,Yes,3,Manager
58,No,HR,9120,3,4,15,29,2,No,3,Engineer
31,No,R&D,9177,4,2,22,27,3,No,4,HR Executive
32,No,HR,17064,2,1,38,22,4,No,0,Engineer
49,No,R&D,11882,2,2,27,16,3,Yes,3,Engineer
40,No,Sales,4602,3,1,29,4,3,Yes,0,Manager
20,No,HR,9353,2,2,2,4,1,Yes,6,Sales Executive
47,No,R&D,3550,1,4,39,1,1,No,5,Technician
53,Yes,HR,2488,1,2,19,28,2,Yes,2,Manager
49,No,HR,17983,1,2,35,4,3,No,2,Sales Executive
49,No,R&D,17377,2,3,34,20,2,Yes,6,Sales Executive
18,No,Sales,15176,3,2,8,4,3,No,7,Manager
22,No,HR,13231,2,1,9,9,2,No,3,HR Executive
19,No,HR,15141,2,3,3,15,3,No,7,Manager
38,No,R&D,9035,1,2,16,9,4,Yes,6,Technician
28,No,R&D,18142,1,4,20,29,1,No,7,Technician
46,No,Sales,7370,1,3,13,27,3,Yes,3,Technician
57,No,HR,19480,2,3,4,27,4,No,5,Manager
21,No,R&D,17281,1,2,13,17,1,No,3,Manager
19,No,HR,18423,3,2,13,24,4,Yes,6,Technician
48,Yes,R&D,4842,3,4,1,12,4,Yes,8,HR Executive
33,No,R&D,16727,2,3,28,21,2,Yes,8,Engineer
27,No,HR,7208,1,1,9,21,1,Yes,5,Manager
37,No,R&D,4977,1,4,17,24,1,Yes,6,Manager
30,No,R&D,12828,3,2,2,6,2,Yes,6,HR Executive
46,No,R&D,15416,2,3,24,3,4,No,7,Sales Executive
24,Yes,HR,16296,2,1,37,18,2,Yes,1,Engineer
19,No,Sales,8867,3,4,23,6,1,No,0,Manager
38,No,R&D,18273,4,2,6,3,3,No,8,Manager
43,No,Sales,12927,3,1,8,9,3,Yes,6,Engineer
31,No,R&D,2107,1,2,35,10,1,Yes,7,HR Executive
22,Yes,R&D,10719,1,1,27,3,3,No,1,Technician
45,No,Sales,11249,4,3,34,10,1,No,0,Sales Executive
33,No,R&D,8768,1,1,27,12,3,No,7,Manager
25,No,Sales,12749,1,4,26,21,4,No,9,Sales Executive
37,Yes,R&D,7682,3,4,16,4,2,No,7,Manager
39,No,HR,9153,1,4,18,22,1,No,9,Sales Executive
28,No,Sales,7992,2,1,9,7,2,Yes,4,Engineer
40,No,HR,13376,3,4,0,18,2,Yes,2,HR Executive
54,No,R&D,7023,1,1,33,14,1,No,3,Engineer
44,Yes,Sales,11947,4,2,28,24,4,No,8,Technician
50,No,HR,18461,4,2,16,4,3,No,9,Sales Executive
39,No,R&D,5341,1,3,25,21,4,Yes,0,HR Executive
47,No,Sales,8228,2,2,24,25,1,No,7,HR Executive
36,No,Sales,3455,2,1,7,22,2,No,0,Engineer
46,No,Sales,13250,3,1,24,2,1,No,7,Sales Executive
31,No,Sales,19044,1,3,8,7,3,Yes,2,Sales Executive
57,No,R&D,14714,2,2,5,8,1,No,6,Technician
37,Yes,HR,14917,1,3,39,17,4,No,7,Engineer
25,Yes,HR,7136,3,3,6,29,1,Yes,0,HR Executive
45,No,R&D,7281,1,2,14,21,3,Yes,8,Sales Executive
55,No,Sales,8852,2,3,22,5,1,Yes,4,Manager
55,No,HR,17042,1,3,19,2,2,Yes,9,Engineer
44,No,HR,7973,4,4,2,1,3,Yes,2,Sales Executive
23,No,R&D,13273,2,2,26,25,4,Yes,6,Technician
28,No,Sales,7022,1,2,9,1,4,Yes,6,HR Executive
59,No,Sales,15223,1,4,4,19,2,No,8,Sales Executive
51,No,HR,7192,4,2,0,27,4,Yes,6,Technician
18,No,R&D,14140,2,4,26,1,4,No,9,Engineer
27,Yes,HR,16781,1,4,4,21,2,No,6,HR Executive
19,No,R&D,4101,1,4,34,7,3,No,7,Engineer
53,No,R&D,5719,1,4,9,7,4,No,0,Engineer
23,No,Sales,11534,1,2,20,4,4,Yes,6,Sales Executive
31,No,Sales,3710,2,4,10,19,3,Yes,4,HR Executive
40,No,Sales,4878,1,3,23,6,1,Yes,0,Engineer
36,No,HR,3410,3,4,9,27,4,Yes,8,Engineer
53,No,HR,8014,4,1,28,17,4,Yes,5,Manager
33,No,HR,8951,3,2,6,11,2,Yes,5,Engineer
56,No,Sales,7773,2,3,31,13,2,Yes,4,Manager
50,No,HR,18982,3,1,10,17,2,No,4,Technician
32,No,HR,17247,3,2,21,7,3,Yes,4,HR Executive
51,No,Sales,8087,3,1,3,1,4,No,2,Manager
39,No,Sales,4482,4,2,11,26,1,Yes,2,Technician
42,No,HR,6572,3,1,26,22,2,Yes,4,Manager
47,Yes,HR,10040,1,3,34,7,4,Yes,0,Manager
25,No,R&D,7596,1,2,34,22,1,Yes,8,Technician
21,No,Sales,3728,3,1,16,24,3,Yes,1,HR Executive
43,No,Sales,3872,3,2,21,23,1,No,9,Engineer
40,No,Sales,11953,4,4,4,9,2,No,4,Engineer
20,No,R&D,17950,4,1,0,20,1,No,7,Technician
32,No,Sales,8147,1,3,1,5,3,Yes,3,HR Executive
30,No,R&D,11746,3,3,22,26,2,No,4,HR Executive
21,No,HR,3526,1,2,25,12,4,No,4,Manager
19,No,HR,12220,1,2,29,3,3,Yes,2,Manager
52,No,R&D,2950,1,2,26,20,3,No,1,HR Executive
58,No,R&D,10111,4,4,29,20,2,Yes,1,Engineer
